Stockfish_Evaluation,Time_Left,Pieces_Left,Elo_Difference,Predicted_Outcome
3.73,6.4,12.0,-66.0,1
0.1,17.1,18.0,39.0,0
-1.02,12.9,15.0,0.0,0
2.02,23.6,16.0,-77.0,1
0.94,20.3,17.0,-9.0,0
-3.34,16.5,16.0,42.0,0
1.0,19.5,12.0,-30.0,0
1.14,21.4,17.0,58.0,0
-0.0,16.9,17.0,-83.0,0
-1.72,20.7,16.0,34.0,1
1.1,10.5,17.0,7.0,0
1.8,17.6,17.0,-63.0,0
0.79,23.5,14.0,-36.0,1
0.93,10.4,14.0,-42.0,0
-0.5,11.2,22.0,-70.0,1
0.85,15.6,19.0,43.0,0
-4.21,12.7,15.0,-48.0,1
-0.09,11.8,17.0,30.0,0
2.79,20.8,12.0,-22.0,1
0.05,10.8,13.0,-55.0,1
-2.35,15.1,11.0,-41.0,0
0.74,12.9,16.0,37.0,0
-0.72,10.8,16.0,2.0,0
0.1,21.6,18.0,-69.0,0
0.09,19.8,14.0,26.0,0
5.02,15.1,18.0,-38.0,1
-1.9,23.1,17.0,61.0,0
0.99,19.6,22.0,25.0,1
-3.64,5.5,20.0,17.0,0
-0.78,16.3,19.0,-30.0,0
-1.21,9.4,18.0,49.0,0
0.33,10.4,12.0,-106.0,0
-2.15,12.9,16.0,-38.0,0
-0.33,15.8,22.0,-108.0,0
-0.06,17.4,17.0,2.0,0
-1.27,10.6,13.0,70.0,0
1.17,24.6,16.0,83.0,0
0.6,7.0,12.0,31.0,0
-2.99,18.1,12.0,12.0,0
1.08,16.8,16.0,-6.0,1
1.1,21.6,17.0,-50.0,0
-2.55,25.1,13.0,81.0,0
0.16,16.1,13.0,100.0,0
-2.69,18.8,11.0,26.0,0
-0.72,20.8,15.0,80.0,0
-1.34,20.9,9.0,37.0,0
0.96,29.3,14.0,-40.0,1
0.66,18.0,15.0,2.0,0
1.97,20.1,10.0,5.0,1
2.46,15.9,12.0,8.0,1
-0.29,13.4,15.0,-60.0,1
-2.69,19.3,14.0,15.0,0
-4.19,18.4,15.0,-50.0,0
-0.35,15.6,16.0,26.0,0
3.97,12.8,10.0,-97.0,1
-1.17,16.0,17.0,9.0,0
-2.33,10.1,14.0,-40.0,0
-2.19,11.7,13.0,-33.0,0
2.36,21.4,9.0,23.0,1
0.34,13.2,14.0,-29.0,0
-0.9,16.6,17.0,-56.0,0
4.6,12.6,15.0,-64.0,1
2.09,5.4,16.0,-39.0,0
1.1,18.4,14.0,-46.0,0
2.58,20.7,15.0,-11.0,1
0.4,18.0,12.0,42.0,0
1.76,13.7,15.0,-12.0,0
-0.21,18.2,14.0,4.0,0
2.18,14.4,12.0,57.0,0
2.09,21.0,17.0,-42.0,1
0.55,14.9,10.0,-3.0,0
-2.29,19.0,17.0,22.0,0
-2.04,25.5,17.0,10.0,0
-3.17,17.9,13.0,-8.0,1
2.65,19.8,18.0,37.0,1
0.67,21.5,13.0,-43.0,0
-0.37,27.4,13.0,109.0,1
-3.18,20.9,11.0,10.0,0
0.28,21.2,15.0,-7.0,0
-2.33,18.2,12.0,9.0,0
3.43,21.9,13.0,12.0,1
-3.14,23.7,15.0,25.0,0
-0.01,25.6,15.0,125.0,1
2.17,16.0,19.0,-14.0,0
0.04,25.7,18.0,-16.0,1
-0.13,13.6,17.0,6.0,0
-3.01,21.6,15.0,54.0,0
-1.22,14.7,14.0,-8.0,1
0.74,22.2,15.0,-98.0,0
0.59,23.3,13.0,60.0,1
-3.15,24.3,13.0,35.0,0
1.02,26.9,15.0,-21.0,1
0.37,21.8,12.0,5.0,0
-0.33,18.3,13.0,-45.0,0
0.33,20.7,18.0,-71.0,0
-1.44,11.8,11.0,-34.0,1
-0.31,19.8,12.0,3.0,0
1.58,12.5,19.0,-85.0,0
1.38,30.0,14.0,41.0,1
1.24,18.8,19.0,41.0,0
-2.24,18.7,11.0,48.0,0
-1.72,16.3,15.0,-12.0,0
0.78,25.1,17.0,110.0,1
1.54,30.0,12.0,-6.0,1
-1.47,13.3,20.0,5.0,0
-1.01,16.9,14.0,-21.0,0
0.99,15.3,17.0,0.0,0
1.25,22.1,13.0,77.0,1
2.31,17.3,19.0,-67.0,0
0.8,27.6,16.0,-43.0,1
-2.91,19.0,21.0,69.0,0
2.19,30.0,19.0,51.0,1
1.23,22.4,18.0,-18.0,0
0.18,12.3,12.0,43.0,1
-0.67,26.7,15.0,17.0,1
0.94,18.3,14.0,20.0,0
0.38,17.3,15.0,4.0,0
0.6,15.5,15.0,51.0,0
-0.14,19.1,12.0,132.0,1
1.07,13.9,15.0,-18.0,0
1.84,20.2,15.0,2.0,0
1.68,16.2,12.0,36.0,0
0.91,10.8,17.0,-18.0,0
-0.01,14.3,16.0,119.0,1
-1.16,5.4,17.0,9.0,0
2.39,18.1,16.0,-14.0,1
-0.31,10.6,10.0,-74.0,0
-0.54,16.9,13.0,6.0,0
0.99,24.3,20.0,43.0,0
0.99,8.9,17.0,-25.0,0
-0.2,13.1,10.0,29.0,0
0.9,18.7,16.0,20.0,0
-1.68,22.0,13.0,20.0,1
-0.02,18.9,9.0,23.0,0
3.11,30.0,20.0,85.0,1
1.22,12.5,15.0,51.0,0
-1.29,8.8,16.0,-48.0,0
-1.03,28.7,11.0,-45.0,1
1.24,8.6,12.0,-67.0,0
3.25,21.8,10.0,67.0,1
-1.99,11.4,19.0,15.0,0
-5.06,19.6,10.0,16.0,0
-2.81,12.2,20.0,61.0,1
0.11,23.1,12.0,-23.0,1
-0.34,9.9,11.0,-5.0,0
0.26,21.1,15.0,16.0,0
-0.24,22.3,13.0,-16.0,0
-1.25,20.7,15.0,-77.0,0
-1.84,16.1,12.0,13.0,0
1.82,27.4,14.0,22.0,1
0.6,21.6,13.0,37.0,0
-0.17,15.9,18.0,5.0,0
-1.07,20.1,17.0,-8.0,0
-3.59,21.9,16.0,-44.0,0
-0.32,24.1,18.0,4.0,0
1.67,24.5,16.0,37.0,1
-0.34,18.3,16.0,-22.0,0
-1.26,14.2,15.0,4.0,0
2.04,28.0,13.0,12.0,1
-0.52,9.0,13.0,-36.0,0
-1.82,15.1,15.0,24.0,0
-1.69,17.0,18.0,12.0,0
-1.52,20.5,17.0,-57.0,0
-0.69,14.6,17.0,17.0,0
0.07,18.7,12.0,-45.0,0
0.83,14.1,17.0,53.0,0
-1.65,11.6,14.0,117.0,0
-2.71,24.2,16.0,-43.0,0
0.79,12.6,17.0,27.0,0
-1.43,25.2,12.0,-36.0,0
3.42,15.6,15.0,-6.0,1
0.81,5.0,16.0,-12.0,0
-1.46,22.1,18.0,24.0,0
1.22,20.1,13.0,21.0,0
-0.3,23.0,15.0,39.0,1
-2.69,15.2,16.0,-71.0,1
-0.1,16.5,13.0,10.0,0
0.01,5.5,13.0,-42.0,0
2.87,18.1,13.0,28.0,1
0.31,25.6,15.0,-17.0,1
-1.13,12.3,20.0,-6.0,0
-3.77,17.0,15.0,6.0,0
-0.64,26.1,16.0,-38.0,1
-1.94,27.3,15.0,15.0,0
3.33,20.3,14.0,77.0,1
-0.38,14.2,15.0,-12.0,0
-0.18,20.7,17.0,51.0,0
2.2,14.7,15.0,75.0,0
1.21,17.5,15.0,-41.0,0
-1.62,14.5,14.0,-73.0,0
2.05,16.2,12.0,15.0,1
-1.37,19.4,18.0,40.0,0
-1.83,11.0,14.0,93.0,1
-2.51,18.1,19.0,7.0,0
0.52,20.6,16.0,-40.0,0
2.04,18.1,19.0,-57.0,0
1.74,19.3,14.0,19.0,0
1.23,18.4,13.0,-29.0,0
5.78,23.4,18.0,60.0,1
-0.54,13.4,13.0,12.0,0
-1.81,15.1,19.0,-19.0,0
0.91,28.1,17.0,-2.0,1
1.79,21.4,19.0,-1.0,1
-2.27,23.8,12.0,34.0,0
-0.5,16.8,18.0,30.0,0
3.96,16.5,13.0,13.0,1
1.38,20.6,8.0,3.0,1
0.76,21.3,18.0,-19.0,0
-3.35,10.5,15.0,-74.0,0
-1.25,12.5,18.0,13.0,0
2.87,18.3,15.0,6.0,1
-0.54,13.5,15.0,-44.0,0
1.29,19.6,19.0,-39.0,0
0.9,18.3,15.0,-44.0,0
-0.3,26.2,14.0,55.0,1
-0.63,20.6,15.0,22.0,0
-0.13,16.3,15.0,-8.0,0
-2.9,16.9,6.0,2.0,0
1.95,18.4,16.0,5.0,1
0.88,27.0,19.0,50.0,1
-0.51,10.7,15.0,-14.0,0
-0.22,11.8,14.0,17.0,0
1.62,19.0,16.0,-63.0,0
4.06,11.6,20.0,85.0,1
3.06,20.9,16.0,79.0,1
0.37,16.0,16.0,-43.0,0
-1.65,18.4,14.0,4.0,0
-0.42,11.5,12.0,-8.0,0
0.25,15.5,15.0,-26.0,0
-1.57,23.5,15.0,31.0,0
0.31,20.1,9.0,35.0,0
0.58,25.9,13.0,7.0,1
0.94,19.1,18.0,-19.0,0
-2.34,18.5,14.0,-66.0,0
-1.77,22.6,8.0,-38.0,1
-0.63,21.4,20.0,34.0,0
1.57,28.2,12.0,-8.0,1
-0.63,10.9,14.0,-61.0,0
5.16,23.0,18.0,-12.0,0
-4.52,22.2,13.0,15.0,0
0.66,11.9,9.0,48.0,0
2.12,15.9,16.0,-15.0,0
0.86,20.6,17.0,-86.0,0
-0.18,29.3,14.0,98.0,1
3.52,15.6,15.0,-3.0,1
-1.24,22.2,11.0,-37.0,0
-1.21,11.7,12.0,21.0,0
0.24,6.6,14.0,-8.0,0
0.01,15.5,17.0,-1.0,0
2.0,14.7,15.0,64.0,0
2.08,19.1,18.0,54.0,1
-2.33,8.6,20.0,-54.0,0
-0.02,16.0,18.0,-34.0,1
-0.08,16.0,10.0,48.0,0
1.33,6.7,14.0,-136.0,0
0.06,5.9,18.0,-7.0,1
-1.42,18.7,15.0,26.0,0
-2.05,16.0,10.0,-24.0,0
-1.32,16.3,13.0,-15.0,0
-1.35,5.0,8.0,-18.0,0
2.01,17.9,14.0,7.0,0
0.28,18.6,13.0,-1.0,0
-2.14,7.9,14.0,115.0,0
0.36,19.8,19.0,93.0,0
-1.9,18.7,11.0,11.0,1
-1.47,25.1,13.0,-29.0,1
-0.74,15.6,12.0,-20.0,0
-1.6,22.0,18.0,6.0,0
-2.26,14.9,18.0,-3.0,0
3.1,23.2,16.0,45.0,1
-3.78,25.2,16.0,49.0,0
0.18,11.9,11.0,6.0,0
-0.43,17.1,16.0,4.0,0
2.46,12.8,12.0,-60.0,0
0.59,27.5,15.0,-45.0,1
-0.56,21.5,14.0,-82.0,0
-1.48,12.8,13.0,1.0,0
2.29,8.8,15.0,-60.0,0
0.12,19.6,17.0,-13.0,0
0.42,17.3,20.0,69.0,0
-0.34,21.0,17.0,60.0,0
0.96,12.6,22.0,-2.0,0
0.72,20.9,16.0,-4.0,0
1.41,18.2,20.0,94.0,0
0.06,13.3,16.0,26.0,0
3.35,24.5,16.0,44.0,1
3.16,23.0,14.0,58.0,1
2.28,24.3,16.0,20.0,1
0.56,6.5,16.0,-60.0,0
-1.54,27.7,11.0,-32.0,1
-4.73,19.1,17.0,12.0,0
0.42,13.1,11.0,-18.0,0
0.67,14.9,17.0,-9.0,0
-2.67,16.9,17.0,-16.0,0
0.83,22.5,19.0,-11.0,0
-0.89,10.4,12.0,28.0,0
1.48,21.3,12.0,-32.0,0
-1.23,24.5,18.0,31.0,0
-1.45,28.6,12.0,-18.0,1
-0.12,17.9,11.0,18.0,0
-2.35,14.3,16.0,-21.0,0
1.92,12.7,15.0,-31.0,0
0.04,9.7,15.0,40.0,0
-2.29,7.3,17.0,-44.0,0
-1.23,22.1,17.0,27.0,0
1.18,18.6,15.0,5.0,0
1.39,22.2,15.0,27.0,0
1.42,22.4,15.0,32.0,1
-3.06,5.0,15.0,-85.0,0
-0.56,24.5,11.0,51.0,1
-0.14,12.0,17.0,-18.0,0
4.45,15.2,18.0,51.0,1
-1.46,27.2,17.0,132.0,1
1.25,17.3,17.0,15.0,0
0.94,13.9,12.0,-17.0,0
3.5,26.1,11.0,69.0,1
2.72,14.0,17.0,-71.0,1
1.04,15.7,15.0,-67.0,0
-0.59,13.7,16.0,-50.0,0
-2.83,6.7,16.0,-17.0,0
0.47,18.1,16.0,-44.0,0
2.03,21.3,17.0,39.0,1
2.29,17.3,15.0,-8.0,1
-0.52,9.9,9.0,15.0,0
0.09,17.6,17.0,13.0,0
2.85,13.5,17.0,7.0,1
-1.53,15.1,11.0,4.0,0
-4.95,7.9,12.0,41.0,0
2.31,23.2,18.0,48.0,0
-2.32,15.0,18.0,25.0,0
-0.58,23.7,7.0,47.0,1
0.91,25.6,16.0,37.0,1
0.14,21.5,14.0,-5.0,0
2.16,12.4,15.0,-54.0,0
5.34,21.0,15.0,-20.0,1
-1.61,13.0,13.0,-34.0,0
0.27,10.3,17.0,46.0,0
0.01,17.6,13.0,-7.0,0
0.63,13.8,17.0,-60.0,0
-1.21,16.7,18.0,-37.0,0
-1.3,24.3,12.0,-70.0,0
-1.25,22.4,12.0,11.0,0
-0.66,20.2,15.0,46.0,0
1.0,21.5,20.0,51.0,0
-3.38,18.6,13.0,-30.0,0
0.18,9.8,14.0,-50.0,0
-0.6,10.9,16.0,-61.0,0
-1.44,13.2,17.0,35.0,0
0.19,28.3,17.0,41.0,1
-0.01,9.4,15.0,-16.0,0
0.52,12.0,14.0,-12.0,0
-2.18,20.8,16.0,73.0,0
0.03,19.0,5.0,25.0,0
2.06,21.3,21.0,22.0,1
1.19,16.8,14.0,-60.0,1
-0.99,22.6,16.0,-46.0,0
0.53,17.1,21.0,-46.0,0
1.19,22.0,13.0,-57.0,0
0.86,14.6,22.0,-17.0,0
0.92,20.0,17.0,-29.0,0
-1.34,21.3,16.0,-11.0,0
1.5,15.4,17.0,-72.0,0
0.38,30.0,12.0,48.0,1
-1.22,21.0,10.0,56.0,0
-1.01,17.7,11.0,-64.0,0
0.1,25.6,18.0,49.0,1
-0.72,23.5,12.0,-41.0,1
0.51,23.3,10.0,43.0,1
-0.03,23.1,15.0,-33.0,0
1.4,21.5,17.0,18.0,1
-1.06,22.5,15.0,40.0,0
0.58,7.0,17.0,-47.0,0
-0.77,13.7,18.0,-62.0,0
-2.84,17.1,17.0,-2.0,0
2.62,27.9,15.0,44.0,1
0.7,30.0,13.0,-21.0,1
1.54,19.7,17.0,116.0,1
-1.46,17.6,16.0,-26.0,0
2.37,15.3,12.0,48.0,1
0.94,22.7,19.0,-5.0,0
0.3,15.7,16.0,62.0,1
2.06,28.7,17.0,-57.0,1
-0.66,24.6,14.0,9.0,1
2.59,24.5,18.0,-9.0,1
-1.32,22.7,10.0,-28.0,0
0.07,21.9,20.0,20.0,0
-1.87,21.0,9.0,17.0,0
-2.3,20.2,11.0,31.0,0
-0.93,18.0,16.0,70.0,0
-0.32,8.4,13.0,19.0,0
1.1,16.5,14.0,9.0,0
-1.29,12.4,13.0,-48.0,0
1.17,23.8,13.0,-55.0,1
-1.14,14.1,16.0,-14.0,0
-0.99,22.7,15.0,-6.0,0
0.77,13.1,18.0,4.0,0
1.08,27.5,15.0,35.0,1
3.65,13.4,14.0,-17.0,1
0.86,20.5,17.0,-69.0,0
-2.74,15.0,10.0,-22.0,0
-0.24,22.9,7.0,27.0,1
-1.29,12.7,10.0,-52.0,0
-3.28,19.1,14.0,-2.0,0
2.12,18.7,16.0,-8.0,1
2.16,18.4,7.0,12.0,1
-1.45,13.5,15.0,4.0,0
1.42,16.5,14.0,-22.0,0
1.75,16.5,15.0,64.0,0
-0.03,18.7,9.0,-5.0,0
1.9,18.1,23.0,-36.0,0
0.59,22.1,15.0,-22.0,0
2.29,18.1,11.0,-52.0,1
-2.19,18.8,15.0,-68.0,0
0.3,15.1,19.0,37.0,0
0.4,10.9,11.0,-104.0,1
-2.31,18.5,11.0,57.0,0
0.94,25.0,15.0,107.0,1
-3.17,27.2,15.0,105.0,0
0.09,11.1,17.0,-29.0,0
-0.88,22.6,19.0,-21.0,0
-2.58,15.4,17.0,45.0,0
2.43,11.2,11.0,-63.0,0
0.8,20.4,12.0,-26.0,0
0.85,19.7,13.0,34.0,0
0.41,23.9,17.0,70.0,1
-0.48,17.9,17.0,24.0,0
-3.12,20.4,19.0,-12.0,0
0.55,20.7,17.0,-20.0,0
3.28,19.8,13.0,4.0,1
2.82,20.2,14.0,-21.0,1
0.21,19.2,11.0,-13.0,0
-0.87,12.7,17.0,-9.0,0
1.13,10.5,13.0,-72.0,0
0.53,23.7,19.0,64.0,0
-0.28,19.7,17.0,-9.0,0
3.72,20.8,21.0,55.0,1
-0.79,23.0,16.0,23.0,1
1.91,20.0,16.0,18.0,0
-1.04,15.6,14.0,45.0,0
0.3,13.4,14.0,-30.0,0
-3.3,8.1,14.0,16.0,0
0.83,10.7,18.0,-72.0,0
1.67,11.3,11.0,-26.0,1
0.38,17.1,15.0,10.0,0
2.07,14.5,10.0,-24.0,0
0.83,5.1,16.0,-20.0,0
-2.59,19.6,14.0,-1.0,0
-1.94,22.6,17.0,-71.0,0
-0.12,16.1,13.0,42.0,0
-2.17,13.3,14.0,38.0,0
2.24,23.8,17.0,55.0,1
-0.43,17.5,15.0,-0.0,0
0.15,23.8,20.0,-80.0,1
-2.94,5.0,14.0,-33.0,0
1.29,20.4,13.0,-45.0,0
-0.6,21.0,19.0,40.0,0
-0.65,17.8,14.0,38.0,0
2.82,22.2,14.0,-64.0,1
1.01,19.1,16.0,44.0,0
1.5,16.7,15.0,-23.0,0
0.42,15.6,14.0,17.0,0
-3.68,30.0,13.0,-41.0,0
-0.58,11.5,19.0,-28.0,0
-0.67,20.6,15.0,25.0,0
0.78,8.9,13.0,-77.0,0
-0.06,20.9,14.0,67.0,0
-0.01,22.7,16.0,-54.0,0
3.08,14.3,19.0,15.0,1
2.29,12.8,14.0,-22.0,0
0.48,28.7,12.0,9.0,1
0.59,19.2,21.0,-6.0,0
-0.97,30.0,15.0,-5.0,1
1.21,23.3,15.0,30.0,1
3.86,14.4,15.0,17.0,1
-0.71,19.4,11.0,18.0,0
1.58,19.4,15.0,-34.0,0
0.58,18.3,17.0,-64.0,0
-0.27,10.0,19.0,6.0,0
0.99,21.6,14.0,25.0,1
3.43,14.4,16.0,-11.0,1
-1.87,14.1,19.0,-16.0,0
-2.72,14.4,15.0,-41.0,0
-2.49,20.2,17.0,65.0,0
1.51,14.9,16.0,7.0,0
-2.03,14.5,13.0,1.0,0
1.12,23.6,12.0,25.0,1
2.72,23.4,18.0,23.0,1
-1.32,12.7,7.0,-53.0,0
-1.52,13.6,13.0,68.0,0
1.34,15.0,11.0,-38.0,1
1.12,27.8,18.0,-31.0,1
-4.73,16.0,19.0,-131.0,0
3.06,9.6,13.0,-74.0,1
1.1,14.5,23.0,-67.0,0
-0.76,14.2,19.0,7.0,0
-0.84,20.0,16.0,-16.0,0
1.44,22.2,19.0,-67.0,0
-0.09,15.7,13.0,-14.0,0
0.11,15.5,14.0,-9.0,0
0.3,27.4,16.0,26.0,1
-1.64,16.4,13.0,59.0,0
-0.77,5.0,11.0,-6.0,1
-0.38,14.4,12.0,-69.0,0
1.82,23.1,14.0,45.0,1
0.55,8.1,16.0,39.0,0
0.97,13.3,14.0,-45.0,0
-0.45,14.8,10.0,-38.0,0
-1.52,13.0,16.0,-23.0,0
1.78,17.3,19.0,11.0,1
2.85,26.4,13.0,64.0,1
1.9,15.1,20.0,-22.0,0
-1.0,17.2,18.0,49.0,1
-0.62,15.1,12.0,-2.0,0
3.04,12.4,13.0,-63.0,1
-0.37,15.9,14.0,-75.0,0
-1.25,29.3,14.0,-50.0,1
-0.97,16.4,8.0,-3.0,0
1.55,22.7,13.0,54.0,1
-1.67,29.6,13.0,-35.0,0
1.51,18.4,21.0,6.0,0
-1.96,8.9,16.0,-19.0,0
0.55,18.1,13.0,-63.0,0
-0.1,13.7,14.0,-8.0,0
-3.9,15.8,16.0,30.0,0
-0.41,18.2,14.0,-60.0,0
-2.76,18.8,13.0,40.0,0
2.71,16.7,13.0,-20.0,1
-0.65,12.0,16.0,-24.0,0
2.75,15.6,11.0,27.0,1
-1.31,22.2,12.0,-33.0,0
-0.12,17.0,12.0,2.0,0
-1.84,16.1,12.0,14.0,0
-0.5,20.4,13.0,35.0,0
2.08,19.5,18.0,-119.0,0
0.21,23.5,18.0,-91.0,0
0.75,11.9,16.0,31.0,0
0.13,29.4,16.0,-24.0,1
3.26,16.2,13.0,-24.0,1
-1.63,12.2,9.0,-36.0,0
-0.28,16.3,15.0,-7.0,1
0.38,24.8,16.0,35.0,1
-1.99,22.4,13.0,32.0,0
0.25,15.5,12.0,-44.0,0
0.06,23.5,11.0,60.0,1
0.23,19.3,16.0,-65.0,0
0.24,16.6,15.0,125.0,0
-1.34,5.0,19.0,-40.0,0
-3.25,14.8,13.0,54.0,1
0.37,20.7,14.0,20.0,0
-1.79,20.6,15.0,66.0,0
-0.18,16.3,13.0,5.0,0
-1.5,8.7,18.0,-45.0,0
-1.48,30.0,19.0,48.0,1
-0.27,24.0,12.0,33.0,1
1.4,24.1,14.0,-51.0,1
2.21,30.0,19.0,-38.0,1
-0.89,22.5,16.0,-52.0,0
0.08,12.7,15.0,79.0,0
0.29,12.0,16.0,-3.0,0
2.04,14.8,17.0,-22.0,0
-3.5,5.0,16.0,61.0,0
2.9,17.0,16.0,-61.0,1
2.78,5.0,15.0,0.0,1
-3.37,21.7,19.0,-69.0,0
1.83,17.4,14.0,53.0,1
2.66,19.2,15.0,-13.0,1
1.61,23.4,20.0,29.0,1
-2.01,29.8,16.0,-34.0,1
-1.78,18.7,15.0,-61.0,0
-1.29,30.0,17.0,71.0,1
3.5,18.8,16.0,4.0,1
0.21,23.4,13.0,44.0,1
0.6,13.7,16.0,-38.0,0
-3.19,14.6,13.0,-15.0,0
0.32,17.7,20.0,7.0,0
-1.56,26.7,16.0,-35.0,1
0.05,12.0,12.0,85.0,0
-3.31,20.0,14.0,19.0,0
0.49,20.4,17.0,-135.0,1
-3.01,18.3,12.0,9.0,0
-5.06,15.4,23.0,-66.0,0
0.45,18.7,11.0,-4.0,0
-0.33,30.0,18.0,-18.0,1
-1.67,21.4,14.0,36.0,0
-0.95,18.4,13.0,56.0,0
0.34,17.1,17.0,14.0,0
0.6,9.1,14.0,-17.0,0
0.21,18.0,20.0,52.0,1
-1.42,20.7,11.0,1.0,0
2.65,17.7,17.0,14.0,0
-2.46,12.3,14.0,-46.0,0
0.3,14.5,16.0,23.0,0
1.18,21.8,17.0,48.0,0
-3.14,14.6,10.0,51.0,0
0.78,11.5,16.0,-34.0,0
2.28,13.7,18.0,41.0,1
-0.93,20.9,16.0,-48.0,0
-0.78,7.4,14.0,35.0,0
-0.88,14.0,11.0,-26.0,0
1.43,25.4,17.0,38.0,1
-1.24,16.3,21.0,14.0,0
-0.62,11.7,17.0,-35.0,0
0.64,21.1,18.0,-88.0,0
0.74,19.7,18.0,44.0,1
-3.81,16.8,14.0,46.0,0
0.98,7.7,15.0,-18.0,0
-3.67,12.8,18.0,-79.0,0
-3.34,25.1,10.0,36.0,0
-2.24,8.1,17.0,-45.0,0
-0.44,21.2,19.0,29.0,0
-0.25,17.4,15.0,-1.0,1
0.04,19.5,17.0,58.0,0
-1.87,21.9,13.0,20.0,0
-3.04,18.6,15.0,-37.0,0
-0.4,20.5,14.0,17.0,0
-1.31,18.1,16.0,-70.0,0
2.52,20.4,15.0,21.0,1
0.16,12.1,10.0,56.0,0
-0.62,22.7,13.0,34.0,1
0.1,16.0,21.0,70.0,0
-1.29,18.8,17.0,-15.0,0
2.68,20.7,9.0,67.0,1
-0.67,25.4,19.0,-10.0,0
0.91,9.9,12.0,-1.0,0
1.58,23.2,18.0,-1.0,1
-1.32,17.6,19.0,35.0,0
-3.61,19.2,15.0,74.0,0
-0.96,10.3,12.0,38.0,0
1.17,21.3,13.0,11.0,1
-3.39,11.7,17.0,20.0,0
0.51,20.7,12.0,-7.0,0
1.68,18.9,13.0,-66.0,0
2.78,23.6,17.0,1.0,1
1.36,15.3,13.0,1.0,0
0.59,11.1,19.0,-54.0,0
0.37,23.6,12.0,58.0,1
-2.42,10.3,5.0,-34.0,0
-1.89,18.4,13.0,-50.0,0
-1.19,28.4,16.0,13.0,1
-0.12,13.7,18.0,-90.0,0
0.88,23.4,14.0,54.0,1
0.24,23.8,14.0,12.0,1
0.57,20.4,15.0,-13.0,0
0.75,9.6,20.0,-77.0,0
1.71,20.8,16.0,80.0,1
0.13,16.5,14.0,5.0,0
0.33,24.3,21.0,72.0,1
-0.94,7.2,15.0,25.0,1
-4.25,19.8,9.0,-44.0,0
-2.05,18.9,11.0,13.0,0
-1.02,13.5,17.0,-11.0,0
0.3,12.0,10.0,-59.0,0
0.07,6.1,16.0,73.0,0
-2.4,13.0,13.0,-31.0,0
-2.08,20.9,19.0,-92.0,0
-0.05,18.8,16.0,66.0,0
0.24,18.6,10.0,-44.0,0
2.54,11.0,18.0,-13.0,1
2.62,17.9,19.0,-88.0,1
0.67,12.0,11.0,-51.0,0
3.47,16.1,13.0,-64.0,1
-1.8,10.2,17.0,3.0,0
-0.06,15.1,17.0,46.0,0
6.33,21.9,22.0,31.0,1
1.42,14.4,18.0,-3.0,0
-0.28,16.1,22.0,-85.0,0
0.21,21.6,15.0,-40.0,0
0.36,20.5,16.0,36.0,0
3.34,24.9,13.0,64.0,1
1.61,16.7,13.0,10.0,1
-0.16,10.3,15.0,34.0,0
-1.04,22.4,13.0,48.0,0
1.01,17.9,7.0,-61.0,0
0.12,12.3,13.0,-43.0,0
-0.26,21.6,18.0,38.0,0
2.19,20.4,15.0,-0.0,1
-0.46,8.7,15.0,17.0,0
0.85,24.9,13.0,118.0,1
-2.94,16.0,16.0,-72.0,0
-1.05,14.7,20.0,-9.0,0
1.39,24.6,19.0,-119.0,0
4.13,12.1,16.0,10.0,1
-0.28,22.2,12.0,18.0,0
1.66,12.1,20.0,-2.0,0
2.67,19.8,18.0,3.0,1
1.91,18.5,11.0,-11.0,0
1.5,28.7,10.0,19.0,1
2.77,11.7,11.0,73.0,1
3.04,30.0,14.0,-30.0,1
-2.64,20.2,18.0,17.0,0
0.16,13.2,18.0,-78.0,0
3.73,21.9,16.0,23.0,1
0.72,11.5,15.0,-20.0,1
1.17,10.7,22.0,-38.0,0
-0.76,20.5,15.0,-38.0,0
-2.95,18.6,15.0,-20.0,0
4.07,12.7,13.0,19.0,1
-0.16,12.2,22.0,-46.0,0
-1.03,12.5,17.0,-45.0,0
3.26,18.2,12.0,-2.0,1
0.5,23.1,12.0,56.0,1
-0.65,18.7,10.0,-4.0,0
0.22,30.0,15.0,-43.0,1
1.2,12.1,11.0,-57.0,0
-0.8,20.5,11.0,-49.0,0
-0.54,16.3,18.0,12.0,0
-1.79,16.6,18.0,53.0,0
-2.02,22.1,19.0,32.0,0
0.69,12.4,11.0,55.0,0
-0.93,25.6,12.0,10.0,1
0.97,14.8,13.0,-24.0,0
-0.85,17.3,20.0,-17.0,0
-0.85,14.0,15.0,-37.0,0
-2.65,22.1,20.0,17.0,0
0.84,19.7,17.0,-27.0,0
-1.82,11.0,15.0,91.0,0
-0.49,17.9,17.0,-63.0,0
-1.84,14.5,10.0,77.0,0
-0.74,10.8,9.0,-6.0,0
-2.14,12.8,16.0,15.0,0
-1.81,28.2,15.0,42.0,1
1.93,19.0,21.0,24.0,0
-2.78,16.7,11.0,-10.0,0
-0.9,14.7,16.0,-135.0,0
1.8,9.8,17.0,-36.0,0
1.46,12.9,16.0,-42.0,1
0.91,9.4,18.0,-63.0,0
-2.18,23.5,13.0,-11.0,0
-3.09,18.1,17.0,19.0,0
-2.36,30.0,17.0,20.0,1
-2.35,13.1,18.0,12.0,0
0.55,14.2,13.0,-2.0,0
-2.83,13.0,11.0,-32.0,1
-0.41,6.1,13.0,6.0,0
0.08,12.7,12.0,-41.0,0
